severity,issue_class,subject,issue_type,scan_performed_on,status,insight,detection_method,risk,recommended_action
Moderate,"Domains without ""Always Use HTTPS""",accounts.mizan.legal,Insecure configuration,2026-06-14T00:55:14.418713Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,accounts.mizan.legal,Insecure configuration,2026-06-14T00:55:14.418714Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,accounts.mizan.legal,Compliance violation,2026-06-14T00:55:14.418715Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,"Domains without ""Always Use HTTPS""",clerk.mizan.legal,Insecure configuration,2026-06-14T00:55:14.418818Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,clerk.mizan.legal,Insecure configuration,2026-06-14T00:55:14.418824Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,clerk.mizan.legal,Compliance violation,2026-06-14T00:55:14.418825Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,"Domains without ""Always Use HTTPS""",enclave.mizan.legal,Insecure configuration,2026-06-14T00:55:14.418738Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,enclave.mizan.legal,Insecure configuration,2026-06-14T00:55:14.41874Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,enclave.mizan.legal,Compliance violation,2026-06-14T00:55:14.418744Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,"Domains without ""Always Use HTTPS""",mizan.legal,Insecure configuration,2026-06-14T00:55:14.418615Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,mizan.legal,Insecure configuration,2026-06-14T00:55:14.418616Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,"Domains without ""Always Use HTTPS""",www.mizan.legal,Insecure configuration,2026-06-14T00:55:14.418643Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,www.mizan.legal,Insecure configuration,2026-06-14T00:55:14.418645Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,www.mizan.legal,Compliance violation,2026-06-14T00:55:14.418647Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Low,Security.txt not configured,sabreensfood.ca,Configuration suggestion,2026-06-13T16:28:15.517197Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Low,Review unwanted AI crawlers with AI Labyrinth,sabreensfood.ca,Configuration suggestion,2026-06-08T20:58:59.937392Z,Active,,,,"Enable AI Labyrinth. "
Moderate,Bot Fight Mode not enabled,sabreensfood.ca,Configuration suggestion,2026-06-14T06:23:10.670163Z,Active,,,,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Low,Review unwanted AI crawlers with AI Labyrinth,massrealtyinc.com,Configuration suggestion,2026-04-26T02:29:41.798798Z,Active,,,,"Enable AI Labyrinth. "
Moderate,Bot Fight Mode not enabled,massrealtyinc.ca,Configuration suggestion,2026-06-09T22:54:45.849405Z,Active,,,,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Low,Security.txt not configured,massrealtyinc.ca,Configuration suggestion,2026-06-09T22:54:45.998003Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Moderate,Unproxied A Record detected,massrealtyinc.ca,Exposed infrastructure,2026-06-03T03:39:19.553517Z,Active,"Unproxied A Record detected. The DNS A record for <b>%{domain}</b> is currently set to DNS-only. Because traffic is routed directly to your origin server at <b>%{asn_name}</b>, your backend IP address is publicly visible. With <b>%{dns_queries}</b> queries observed in the last period, this hostname is a known entry point. An attacker can bypass Cloudflare to target your origin IP directly.",We reviewed your Cloudflare DNS settings and checked whether your hostname accepts connections on either port 80 or 443.,Vulnerable to DDoS attack,"Configure Cloudflare to proxy the DNS record. Switch the toggle to ""Proxied"" (Orange Cloud) in your DNS settings. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this protection will take effect within that timeframe, ensuring Cloudflare's edge handles the request and provides DDoS protection for the <b>%{dns_queries}</b> queries hitting this record."
Moderate,Unproxied CNAME Record detected,www.massrealtyinc.ca,Exposed infrastructure,2026-06-03T03:39:19.2838Z,Active,"Unproxied CNAME Record detected. The DNS CNAME record for <b>%{domain}</b> is currently set to DNS-only. While it points to an external alias, it prevents Cloudflare from masking the connection path and allows traffic to bypass Cloudflare’s security. With <b>%{dns_queries}</b> queries observed in the last period, this hostname is active and visible. Attackers can resolve the CNAME chain to identify your infrastructure's provider and launch targeted attacks.",We reviewed your Cloudflare DNS settings and checked whether your hostname accepts connections on either port 80 or 443.,Vulnerable to DDoS attack,"Configure Cloudflare to proxy the DNS record. Switch the toggle to ""Proxied"" (Orange Cloud) in your DNS settings. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this protection will take effect within that timeframe, ensuring Cloudflare's edge handles the request and provides DDoS protection for the <b>%{dns_queries}</b> queries hitting this record."
